,budget,animation,drama,history,horror,dansk,language,steven_spielberg_,martin_scorsese_,tim_burtonofi,crew_count,keyword_count,budget_cast_ratio,budget_runtime_ratio,cast_count,149Pictures,BazmarkFilms,BlueSkyStudios,BookshopProductions,DreamWorksAnimation,EdkoFilms,EuropaCorp,GreatAmericanFilmsLimitedPartnership,HomeBoxOffice(HBO),IngeniousFilmPartners,Kennedy/MarshallCompanyThe,LauraZiskinProductions,LeStudioCanal+,Lucasfilm,MarvelStudios,PixarAnimationStudios,TigProductions,WaltDisneyPictures,WildHogsProductions,WingNutFilms,Uruguay,Aug,Fri,revenue
13,1.50E+07,0,1,0,0,0,0,0,0,0,109,33,375000,122950.8197,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356296601
14,5.30E+07,0,0,0,0,0,0,0,0,0,18,14,898305.0847,449152.5424,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95226116
15,1.02E+08,0,0,0,0,0,0,1,0,0,156,15,4434782.609,703448.2759,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358372926
16,5.00E+05,0,1,0,0,0,0,0,0,0,25,2,38461.53846,5154.639175,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
17,2.60E+07,0,0,0,1,0,0,0,0,0,35,4,1083333.333,305882.3529,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57891803
18,22613680.57,0,1,0,0,0,0,0,0,0,31,3,1187441.627,203255.774,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234254
19,8.00E+06,0,0,0,0,0,0,0,0,0,2,10,347826.087,83333.33333,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749457
20,3.20E+07,0,0,0,0,0,0,0,0,0,17,9,3200000,367816.092,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85167639
21,8.00E+07,0,0,0,0,0,0,0,0,0,120,6,4.00E+06,615384.6154,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136159423
22,4.00E+06,0,0,0,1,0,0,0,0,0,11,16,250000,42105.26316,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36690067
23,22616737.29,0,0,0,1,0,0,0,0,0,19,19,752297.0459,194559.5808,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100345
24,22619794.44,0,0,0,0,0,0,0,0,0,10,11,1188233.387,245396.0255,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17011
25,22622851.99,0,0,0,1,0,0,0,0,0,10,5,1737227.679,259585.7451,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947717
26,22625909.96,0,0,0,1,0,0,0,0,0,14,11,1506099.187,237805.1349,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8403433
27,1.00E+07,0,1,0,0,0,0,0,0,0,18,5,1666666.667,90909.09091,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13835130
28,1.10E+07,0,1,0,0,0,0,0,0,0,15,8,458333.3333,118279.5699,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7847000
29,6.00E+06,1,0,0,0,0,0,0,0,0,18,9,181818.1818,71428.57143,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5849647
30,4.50E+07,0,0,0,0,0,0,0,0,0,8,6,4090909.091,505617.9775,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94935764
31,1.30E+07,0,1,0,0,0,0,0,0,0,34,10,406250,116071.4286,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426480871
32,22628968.34,0,1,0,0,0,0,0,0,0,18,21,1614215.593,193154.0026,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000000
33,9.00E+07,0,0,0,0,0,0,0,0,0,92,6,4090909.091,849056.6038,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146936910
34,22632027.14,0,0,0,1,0,0,0,0,0,59,6,729243.5908,180852.4105,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7171
35,1.40E+08,0,0,0,0,0,0,0,0,0,18,1,7777777.778,1538461.538,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,258022233
36,3.00E+07,0,0,0,0,0,0,0,0,0,34,2,2.00E+06,319148.9362,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40346186
37,22635086.35,0,0,0,0,0,0,0,0,0,2,17,1507605.789,215372.2555,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151559
38,5.00E+07,0,1,0,0,0,0,0,0,0,13,9,3571428.571,393700.7874,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189859560
39,22638145.97,0,0,0,0,0,0,0,0,0,2,11,4524324.972,251351.3873,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92100
40,3800000,0,0,0,0,0,0,0,0,0,12,7,271428.5714,30894.30894,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14873
41,22641206.01,0,0,0,0,0,0,0,0,0,1,3,3771527.567,191772.5881,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163000
42,3.00E+06,0,1,0,0,0,0,0,0,0,28,21,93750,23809.52381,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16217773
43,2.50E+07,0,0,0,0,0,0,0,0,0,12,17,2272727.273,231481.4815,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24362772
44,6.00E+06,0,1,0,0,0,0,0,0,0,12,8,187500,65217.3913,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1020921
45,1.50E+07,0,0,0,0,0,0,0,0,0,12,10,1500000,170454.5455,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47175038
46,3906840,0,1,0,0,0,0,0,0,0,7,13,260456,41124.63158,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4300000
47,8.00E+07,1,0,0,0,0,0,0,0,0,10,16,1904761.905,879120.8791,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660940780
48,4.40E+07,0,1,0,0,0,0,0,0,0,77,11,2444444.444,263473.0539,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155760117
49,22644266.46,0,1,0,0,0,0,0,0,0,31,13,514470.6467,240816.0474,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,653951
50,3.80E+07,0,0,0,0,0,0,0,0,0,15,11,2235294.118,322033.8983,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000000
51,560000,0,1,0,0,0,0,0,0,0,2,14,62222.22222,5490.196078,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000
52,1.20E+07,0,0,0,0,0,0,0,0,0,6,12,705882.3529,75000,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25333333
53,22647327.32,0,0,0,0,0,0,0,0,0,7,8,1741865.694,233445.9178,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000
54,22650388.6,0,1,0,0,0,0,0,0,0,4,4,2516866.901,231140.8379,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17514553
55,2.00E+07,0,0,0,0,0,0,0,0,0,21,15,666666.6667,186915.8879,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46069568
56,22653450.29,0,1,0,0,0,0,0,0,0,3,8,2517705.857,238519.5022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36448200
57,22656512.39,0,1,0,0,0,0,0,0,0,3,4,2518545.092,233679.4415,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1056938
58,1.25E+08,0,0,0,0,0,0,0,0,0,105,17,8928571.429,1.00E+06,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238207122
59,22659574.91,0,0,0,0,0,0,0,0,0,1,13,4534892.293,238678.5417,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119563
60,1.40E+07,0,0,0,0,0,0,0,0,0,1,33,2.00E+06,147368.4211,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25482931
61,1.50E+08,0,0,0,0,0,0,0,0,0,126,13,1875000,1041666.667,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599045960
62,4.00E+06,0,1,0,0,0,0,0,0,0,9,3,266666.6667,38095.2381,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14400000
63,22662637.84,0,1,0,0,0,0,0,0,0,48,19,2268201.962,182919.5131,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25232289
64,5.00E+06,0,0,0,1,0,0,0,0,0,7,15,312500,50000,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14000000
65,1.20E+07,0,1,0,0,0,0,0,0,0,69,18,857142.8571,104347.8261,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17654912
66,1500000,0,0,0,0,0,0,0,0,0,12,10,166666.6667,16304.34783,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11806119
67,1.20E+07,0,0,0,0,0,0,0,0,0,12,3,750000,111111.1111,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204940
68,22665701.19,0,1,0,0,0,0,0,0,0,5,9,3241368.613,170598.3481,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154120
69,2.00E+06,0,1,0,0,0,0,0,0,0,34,33,35714.28571,15503.87597,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13129846
70,8.50E+07,0,1,0,0,0,0,0,0,0,57,15,1517857.143,817307.6923,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158468292
71,2.90E+07,0,1,0,0,0,0,0,0,0,20,30,1318181.818,281553.3981,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21126225
72,22668764.95,0,1,0,0,0,0,0,0,0,11,17,1745934.114,180136.0594,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16756372
73,1.10E+07,0,0,0,0,0,0,0,0,0,7,10,733333.3333,129411.7647,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8266343
74,22671829.12,0,0,0,0,0,0,0,0,0,5,6,3784118.2,252274.5467,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17393
75,445000,0,1,0,0,0,0,0,0,0,12,24,27812.5,5297.619048,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300000
76,1.70E+07,0,0,0,1,0,0,0,0,0,10,5,1062500,160377.3585,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24922237
77,5.00E+05,0,1,0,0,0,0,0,0,0,7,11,45454.54545,3184.713376,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500000
78,6.00E+06,0,0,0,0,0,0,0,0,0,9,6,109090.9091,61224.4898,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39846344
79,22674893.71,0,1,0,0,0,0,0,0,0,13,15,1514151.829,186166.2085,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35610100
80,1500000,0,0,0,1,0,0,0,0,0,80,14,48387.09677,14705.88235,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779820
81,1.50E+07,0,1,0,0,0,0,0,0,0,22,23,882352.9412,127118.6441,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9237470
82,10284523,0,1,0,0,0,0,0,0,0,12,1,934956.6364,98889.64423,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11588205
83,4.30E+07,0,1,0,1,0,0,0,0,0,99,17,2150000,413461.5385,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91974818
84,2.80E+07,0,0,0,0,0,0,0,0,0,32,13,1555555.556,241379.3103,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40400657
85,2.00E+06,0,0,0,1,0,0,0,0,0,7,14,333333.3333,23529.41176,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13101672
86,5.00E+07,0,1,0,0,0,0,0,0,0,9,5,2380952.381,458715.5963,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152022101
87,8.00E+06,0,1,0,0,0,0,0,0,0,33,23,421052.6316,76190.47619,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106260000
88,7500000,0,0,0,0,0,0,0,0,0,4,14,833333.3333,82417.58242,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32392047
89,2.00E+07,0,1,1,0,0,0,0,0,0,21,9,487804.878,158730.1587,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13162475
90,22677958.72,0,1,0,0,0,0,0,0,0,20,38,1747680.63,208438.9743,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140081992
91,3.00E+07,0,0,0,0,0,0,0,0,0,161,20,833333.3333,270270.2703,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180949000
92,22681024.13,0,1,0,0,0,0,0,0,0,3,4,1262634.527,214409.6366,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215339
93,3.50E+07,0,1,0,0,0,0,0,0,0,9,6,1206896.552,259259.2593,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000
94,22684089.97,0,1,1,0,0,0,0,0,0,5,7,1894583.107,236822.8884,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2724474
95,1.50E+07,0,1,0,0,0,0,0,0,0,17,24,211267.6056,102040.8163,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20117339
96,22687156.21,0,1,0,0,0,0,0,0,0,3,11,2526952.846,315869.1058,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14353
97,2500000,0,0,0,0,0,0,0,0,0,10,11,277777.7778,25510.20408,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3358
98,22690222.87,0,1,0,0,0,0,0,0,0,10,11,3791692.746,143988.3321,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000
99,10500000,1,0,0,0,0,0,0,0,0,15,16,1312500,116666.6667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23000000
100,6.00E+06,0,1,0,0,0,0,0,0,0,8,15,5.00E+05,50000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46616067
101,7.00E+06,0,0,0,1,0,0,0,0,0,47,9,5.00E+05,76923.07692,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9229401
102,6.00E+07,0,1,0,0,0,0,0,0,0,60,24,1578947.368,444444.4444,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313542341
103,22693289.95,0,0,0,0,0,0,0,0,0,5,11,3251105.694,223115.0967,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14961069
104,22696357.44,0,1,0,0,0,0,0,0,0,11,4,1138266.289,188143.1882,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5310554
105,22699425.34,0,0,0,0,0,0,0,0,0,11,11,1423307.139,194640.2924,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149521495
106,10900000,0,1,0,0,0,0,0,0,0,40,13,778571.4286,103809.5238,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16505460
107,3.10E+07,0,1,0,0,0,0,0,0,0,16,11,1240000,295238.0952,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15134293
108,7.20E+07,0,1,1,0,0,0,0,0,0,67,11,1309090.909,406779.661,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000000
109,1.40E+07,0,1,0,0,0,0,0,0,0,3,11,2333333.333,144329.8969,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18535191
110,1.50E+07,0,1,0,0,0,0,0,0,0,13,2,833333.3333,79365.07937,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34562222
111,7.50E+07,0,0,0,0,0,0,0,0,0,104,1,7500000,609756.0976,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67631903
112,3.50E+07,0,1,0,0,0,0,0,0,0,25,1,1750000,315315.3153,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22034832
113,1.00E+08,0,1,1,0,0,0,0,0,0,110,37,3846153.846,819672.1311,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93820758
114,2.00E+07,0,1,0,0,0,0,0,0,0,13,7,1538461.538,188679.2453,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51684798
115,9.30E+07,0,0,0,0,0,0,0,0,0,30,25,3576923.077,522471.9101,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,871368364
116,2.50E+07,0,0,0,0,0,0,0,0,0,13,11,2272727.273,290697.6744,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41604473
117,22702493.66,0,1,0,0,0,0,0,0,0,18,2,1340029.717,157106.9323,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
118,22705562.4,0,0,0,0,0,0,0,0,0,12,18,1340476.394,227880.9869,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,253625427
119,22708631.54,0,1,0,0,0,0,0,0,0,16,15,1139784.736,213043.8759,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1796389
120,12716953,0,0,0,0,0,0,0,0,0,10,6,847796.8667,112539.4071,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18814720
121,9.00E+07,0,0,0,0,0,0,0,0,0,10,1,5625000,1.00E+06,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,347325802
122,1.50E+08,1,1,0,0,0,0,0,0,0,27,10,13636363.64,1704545.455,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,448000000
123,1500000,0,0,0,0,0,0,0,0,0,119,4,29411.76471,15957.44681,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5585154
124,2.50E+07,0,0,0,0,0,0,0,0,0,7,10,1666666.667,217391.3043,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91036760
125,7500000,0,1,0,0,0,0,0,0,0,35,18,326086.9565,78947.36842,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60722734
126,4.00E+07,0,1,0,0,0,0,0,0,0,2,5,1.00E+07,320000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7400000
127,22711701.11,0,0,0,0,0,0,0,0,0,2,2,1341370.193,217174.2218,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15500000
128,1.00E+07,0,1,0,1,0,0,0,0,0,59,6,625000,90090.09009,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12008642
129,1.80E+07,0,0,0,1,0,0,0,0,0,21,27,1636363.636,180000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46201432
130,2400000,0,1,0,0,0,0,0,0,0,2,5,133333.3333,20000,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5731103
131,4.00E+06,0,0,0,0,0,0,0,0,0,13,11,173913.0435,44444.44444,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9800000
132,6.00E+06,0,1,0,0,0,0,0,0,0,2,11,272727.2727,64516.12903,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5206
133,22714771.09,0,0,1,0,0,0,0,0,0,1,4,5702723.596,235163.8596,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452566
134,6.50E+07,0,1,0,0,0,0,0,0,0,57,9,3611111.111,684210.5263,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211780824
135,1.00E+07,0,0,0,0,0,0,0,0,0,8,12,333333.3333,1.00E+05,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000000
136,2.00E+06,0,1,0,0,0,0,0,0,0,19,17,222222.2222,22222.22222,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000
137,22717841.48,0,1,0,0,0,0,0,0,0,3,7,1342264.589,248027.1524,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120680
138,9.00E+06,0,0,0,0,0,0,0,0,0,14,13,250000,113924.0506,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4350774
139,22720912.29,0,0,0,0,0,0,0,0,0,45,28,2536233.798,245441.9805,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3065860
140,1.10E+08,0,0,0,0,0,0,0,0,0,28,8,3548387.097,827067.6692,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407711549
141,14320000,0,1,0,0,0,0,0,0,0,10,3,1101538.462,81363.63636,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000
142,22723983.51,0,1,0,0,0,0,0,0,0,13,4,1756439.453,226076.3652,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31466789
